Name,Research Areas,Citations_All,H-Index_All,i10-Index_All,No. of Journals
Dr.Poomagal S,"['Natural Language Processing', ' Machine Learning', ' Sentimental Analysis']",60,4,3,11
Dr.Thilaga M,"['Computational Neuroscience', ' Cognitive Modelling And Analysis', ' Social Network Analysis', ' Graph Data Mining']",154,8,4,16
Dr.Sai Sundara Krishnan G,"['Algebraic Topology', ' Digital Topology']",477,12,13,20
Dr.Senthil Kumar M,"['Differential Equations', ' Stochastic Models', ' Optimization Techniques', ' Epidemic Models On Complex Networks']",349,12,14,20
Dr.Periakaruppan R M,"['Data Mining', ' Optimization Techniques']",7,2,0,7
Dr.Shina Sheen,"['Information Security', ' Ransomware Attack Detection']",307,8,7,19
Dr.Malar B,"['Machine Learning', ' Deep Learning', ' Natural Language Processing']",23,3,0,11
Dr.Indhumathi R,"['Graph Algorithms', ' Theory Of Computing, Mathematical Foundations Of Computer Science', ' Applied Mathematics For Computer Science E', ' Graph Theory And Its Applications', ' Mathematical Biology']",159,7,4,20
Dr.Senthil Kumaran V,"['Intelligent Information Retrieval', ' Operating Systems', ' Semantic Web', ' Service Oriented Architecture And Web Services']",143,6,4,20
Dr.Latha R,"['Recommender Systems', ' Information Retrieval', ' Machine Learning ', ' Privacy Preserving  Data Mining']",19,3,0,9
Dr.Poonthalir G,"['Machine Learning', ' Deep Learning', ' Soft Computing', ' Computational Intelligence', ' Swarm Intelligence', ' Optimization Techniques', '  Vehicle Routing']",429,9,8,13
Dr.Kaja Mohideen A,"['Data Mining', ' Evolutionary Algorithms', ' Digital Image Processing']",294,8,7,15
Dr.Suresh Kumar V,"['Security Protocols And Formal Methods', ' Authentication Protocols For Wsn And Rfid', ' Analysis Of Electronic Voting And Payment Protocols']",489,13,14,20
Dr.Anandhi S,['Design And Analysis Of Security Protocols'],129,6,4,10
Dr.Sreelaja N K,"['Cryptography', ' Swarm Intelligence', ' Security In Computing', ' Computer Forensics']",167,6,5,17
Mr.Kumaresan M,"['Applied Mathematics For Computer Science E', ' Machine Learning ']",2,1,0,2
Dr.Sreeja N K,"['Swarm Intelligence', ' Evolutionary Algorithms', ' Pattern Recognition', ' Soft Computing']",115,5,4,12
Dr.Priya R,"['Information Security', ' Image And Video Processing']",102,2,1,4
Dr.Kirubavathi G,"['Cryptography And Network Security', ' Cyber Security']",256,5,5,9
Dr.Krishnasamy R,"['Differential Equations', ' Linear Algebra', ' Probability And Random Processes', ' Complex Networked Systems']",506,9,9,20
Dr.Sivakumar M,"['Stability Analysis', ' Mathematical Biology']",41,4,3,10
Dr.Regis Anne W,"[' Wireless Sensor Networks', ' Machine Learning', ' Deep Learning']",119,3,3,20
